t_min,t_max
52695.5816321,52695.5859846
52695.648808,52695.6531605
52696.7583798,52696.7653364
52696.7668983,52696.7738549
52696.7754169,52696.7823734
52696.7839354,52696.790892
52700.1871647,52700.1943553
52703.9215863,52703.9259388
52704.3730796,52704.373534
52706.6061696,52706.6061855
52712.6300241,52712.6369807
52712.6385426,52712.6454992
52712.6470611,52712.6540177
52712.6878596,52712.6948162
52714.2398041,52714.2471107
52716.54926,52716.5562166
52716.5650704,52716.5720269
52716.6156604,52716.6226173
52717.7334615,52717.737814
52717.8008918,52717.8052443
52718.7340748,52718.7384273
52718.8014474,52718.8057999
52719.8019222,52719.8062743
52721.0843411,52721.0912977
52721.0928596,52721.0998162
52721.1013782,52721.1083347
52721.7359037,52721.7402558
52734.7425126,52734.7468651
52736.3759619,52736.3829184
52736.3856841,52736.3926407
52736.3942026,52736.4011592
52739.4668415,52739.4707655
52740.7295615,52740.7355921
52741.5894341,52741.5894807
52741.6098393,52741.6167959
52745.1929429,52745.1989736
52746.4821792,52746.4865314
52746.5496907,52746.5501451
52747.4069244,52747.413881
52747.4716087,52747.478564
52747.4801293,52747.4870845
52747.5382322,52747.5451888
52748.1313111,52748.1370525
52748.1805589,52748.1875154
52748.1891581,52748.1961147
52749.2624452,52749.2684758
52751.3301189,52751.3361495
52753.3308596,52753.3368903
52757.8209061,52757.8252586
52761.1921446,52761.1981753
52768.2472258,52768.2472416
52768.8203506,52768.8263812
52770.8859061,52770.8917053
52770.8932672,52770.9060112
52772.2797487,52772.2867053
52772.2882672,52772.2952238
52772.346161,52772.3522712
52772.4798646,52772.4868212
52772.4883832,52772.4953397
52772.4969017,52772.5038583
52772.8985221,52772.9054786
52772.9107443,52772.9177008
52772.9192628,52772.9234646
52774.1559061,52774.1628627
52774.1644247,52774.1713812
52774.1729432,52774.1793675
52774.2137998,52774.2207564
52774.3643206,52774.3686727
52774.9781632,52774.9853538
52775.1477002,52775.1555016
52775.1570635,52775.1674927
52775.1690543,52775.1790201
52777.214008,52777.2209646
52777.2225265,52777.2294831
52777.231045,52777.2380016
52777.3651306,52777.3694831
52777.4238461,52777.4298768
52779.6263001,52779.6306523
52784.0934642,52784.1004211
52784.1019827,52784.1080252
52784.1436957,52784.1506526
52787.2659875,52787.2710793
52787.2726415,52787.2795978
52787.2811612,52787.2881164
52789.946902,52789.9502011
52789.9517631,52789.9564045
52794.8091705,52794.8147034
52794.8162653,52794.8232219
52794.8247838,52794.8317404
52796.5727931,52796.5771452
52796.6396797,52796.6440319
52798.6410105,52798.645363
52800.9009632,52800.9053156
52801.3682327,52801.3725852
52801.440976,52801.4453282
52801.5070638,52801.5114163
52802.574726,52802.5790782
52802.6352697,52802.6396222
52802.7021101,52802.7064626
52802.7744135,52802.778766
52803.4408372,52803.4451893
52803.7077235,52803.712076
52803.7742512,52803.7786037
52804.8354783,52804.8398304
52805.4352816,52805.4396337
52806.7752235,52806.7795745
52807.7766123,52807.7809648
52809.310212,52809.3145645
52809.3756057,52809.3799578
52809.6572838,52809.6646248
52809.7090431,52809.7094048
52809.7112653,52809.7119745
52809.7231057,52809.7278656
52811.3113694,52811.3157219
52811.3770872,52811.3814393
52813.3495643,52813.354345
52813.3559069,52813.3628635
52813.3644254,52813.371382
52813.3729439,52813.3799005
52813.5116115,52813.5159638
52814.3730828,52814.3774353
52817.4356406,52817.4365235
52817.4370991,52817.437982
52817.4385573,52817.4394402
52817.4400158,52817.4408983
52817.4414739,52817.4423568
52817.5023073,52817.5031901
52817.5037658,52817.5046483
52817.5052239,52817.5061068
52817.5066825,52817.5075653
52817.5081406,52817.5090235
52818.607585,52818.6076009
52821.1027702,52821.1036531
52821.1042288,52821.1051113
52821.1056869,52821.1065698
52821.1071454,52821.1080279
52821.1086036,52821.1094864
52823.3782565,52823.3842872
52824.4959765,52824.5020072
52826.5066362,52826.5161739
52827.4537773,52827.4581283
52827.5215665,52827.525919
52828.4385228,52828.4394053
52828.439981,52828.4408639
52828.4414395,52828.442322
52828.4428976,52828.4437805
52828.4443562,52828.4452387
52829.3874462,52829.3917987
52829.4538699,52829.4582224
52829.5221221,52829.5264746
52831.3216477,52831.3260002
52831.387585,52831.3919375
52831.4486962,52831.4530487
52832.4546221,52832.4589746
52832.5232102,52832.5275624
52832.7322265,52832.7324146
52833.3215551,52833.3259076
52833.3823536,52833.3867061
52833.4544254,52833.4587779
52833.5236617,52833.5280139
52833.8550506,52833.8594027
52834.1828628,52834.1872153
52834.255421,52834.2597731
52834.3217273,52834.3260798
52834.3831177,52834.3874702
52834.4486617,52834.4530138
52835.1221917,52835.1265442
52835.189298,52835.1936505
52835.2489858,52835.2533379
52835.3216362,52835.3259887
52835.3888932,52835.3932453
52835.4496917,52835.4540442
52835.538488,52835.5425509
52836.2501881,52836.2545405
52837.1893791,52837.1937316
52837.2558377,52837.2601898
52837.6798884,52837.6839513
52838.3898191,52838.3941713
52838.4505713,52838.4549235
52838.5398654,52838.5439271
52839.2506869,52839.2550394
52839.3177588,52839.3221113
52839.384495,52839.3888472
52848.6338936,52848.6408502
52848.6424121,52848.6493687
52848.6509306,52848.6578872
52850.2605255,52850.2648776
52855.1759421,52855.1835957
52856.2358008,52856.242756
52856.2443202,52856.2489735
52856.2562314,52856.263188
52856.5437892,52856.543805
52857.2359651,52857.242922
52857.2444836,52857.2491372
52857.2563936,52857.2633502
52859.4031295,52859.4100861
52859.4116481,52859.4186046
52859.4201666,52859.4271231
52860.4034884,52860.410445
52860.4120069,52860.4189635
52860.4205255,52860.427482
52861.563361,52861.5703176
52861.5718795,52861.5788361
52861.580398,52861.5873546
52861.5889166,52861.5958731
52861.5974351,52861.6043917
52864.1979906,52864.2049472
52864.2065092,52864.2134657
52864.2150277,52864.2209065
52869.3920766,52869.3969383
52871.6007775,52871.6077383
52874.005711,52874.0126676
52874.0142295,52874.0211861
52874.0324818,52874.0394383
52874.1362432,52874.1431998
52874.1447618,52874.1517183
52874.1647736,52874.1717302
52874.2401206,52874.2470772
